run_id,encoder_family,input_representation,intervention_input_column,task,query_table,corpus_table,qrels_table,training_table,primary_metric,secondary_metrics
chembert_canonical_smiles_smiles_to_pair_retrieval,ChemBERT,smiles,canonical_smiles,smiles_to_pair_retrieval,molecular_queries.csv,pair_texts.csv,molecular_pair_qrels.csv,molecule_to_pair_triplets.csv,MRR@10,Recall@5|nDCG@10
chembert_canonical_smiles_smiles_to_surrogate_retrieval,ChemBERT,smiles,canonical_smiles,smiles_to_surrogate_retrieval,molecular_queries.csv,surrogate_texts.csv,molecular_surrogate_qrels.csv,molecule_to_surrogate_triplets.csv,MRR@10,Recall@5|nDCG@10
chembert_canonical_smiles_smiles_to_biomarker_semantic_retrieval,ChemBERT,smiles,canonical_smiles,smiles_to_biomarker_semantic_retrieval,molecular_queries.csv,biomarker_semantic_texts.csv,molecular_biomarker_semantic_qrels.csv,molecule_to_biomarker_semantic_triplets.csv,MRR@10,Recall@5|nDCG@10
chembert_connectivity_smiles_smiles_to_pair_retrieval,ChemBERT,smiles,connectivity_smiles,smiles_to_pair_retrieval,molecular_queries.csv,pair_texts.csv,molecular_pair_qrels.csv,molecule_to_pair_triplets.csv,MRR@10,Recall@5|nDCG@10
chembert_connectivity_smiles_smiles_to_surrogate_retrieval,ChemBERT,smiles,connectivity_smiles,smiles_to_surrogate_retrieval,molecular_queries.csv,surrogate_texts.csv,molecular_surrogate_qrels.csv,molecule_to_surrogate_triplets.csv,MRR@10,Recall@5|nDCG@10
chembert_connectivity_smiles_smiles_to_biomarker_semantic_retrieval,ChemBERT,smiles,connectivity_smiles,smiles_to_biomarker_semantic_retrieval,molecular_queries.csv,biomarker_semantic_texts.csv,molecular_biomarker_semantic_qrels.csv,molecule_to_biomarker_semantic_triplets.csv,MRR@10,Recall@5|nDCG@10
molformer_canonical_smiles_smiles_to_pair_retrieval,MolFormer,smiles,canonical_smiles,smiles_to_pair_retrieval,molecular_queries.csv,pair_texts.csv,molecular_pair_qrels.csv,molecule_to_pair_triplets.csv,MRR@10,Recall@5|nDCG@10
molformer_canonical_smiles_smiles_to_surrogate_retrieval,MolFormer,smiles,canonical_smiles,smiles_to_surrogate_retrieval,molecular_queries.csv,surrogate_texts.csv,molecular_surrogate_qrels.csv,molecule_to_surrogate_triplets.csv,MRR@10,Recall@5|nDCG@10
molformer_canonical_smiles_smiles_to_biomarker_semantic_retrieval,MolFormer,smiles,canonical_smiles,smiles_to_biomarker_semantic_retrieval,molecular_queries.csv,biomarker_semantic_texts.csv,molecular_biomarker_semantic_qrels.csv,molecule_to_biomarker_semantic_triplets.csv,MRR@10,Recall@5|nDCG@10
molformer_connectivity_smiles_smiles_to_pair_retrieval,MolFormer,smiles,connectivity_smiles,smiles_to_pair_retrieval,molecular_queries.csv,pair_texts.csv,molecular_pair_qrels.csv,molecule_to_pair_triplets.csv,MRR@10,Recall@5|nDCG@10
molformer_connectivity_smiles_smiles_to_surrogate_retrieval,MolFormer,smiles,connectivity_smiles,smiles_to_surrogate_retrieval,molecular_queries.csv,surrogate_texts.csv,molecular_surrogate_qrels.csv,molecule_to_surrogate_triplets.csv,MRR@10,Recall@5|nDCG@10
molformer_connectivity_smiles_smiles_to_biomarker_semantic_retrieval,MolFormer,smiles,connectivity_smiles,smiles_to_biomarker_semantic_retrieval,molecular_queries.csv,biomarker_semantic_texts.csv,molecular_biomarker_semantic_qrels.csv,molecule_to_biomarker_semantic_triplets.csv,MRR@10,Recall@5|nDCG@10
selformer_selfies_sequence_smiles_to_pair_retrieval,Selformer,selfies,selfies_sequence,smiles_to_pair_retrieval,molecular_queries.csv,pair_texts.csv,molecular_pair_qrels.csv,molecule_to_pair_triplets.csv,MRR@10,Recall@5|nDCG@10
selformer_selfies_sequence_smiles_to_surrogate_retrieval,Selformer,selfies,selfies_sequence,smiles_to_surrogate_retrieval,molecular_queries.csv,surrogate_texts.csv,molecular_surrogate_qrels.csv,molecule_to_surrogate_triplets.csv,MRR@10,Recall@5|nDCG@10
selformer_selfies_sequence_smiles_to_biomarker_semantic_retrieval,Selformer,selfies,selfies_sequence,smiles_to_biomarker_semantic_retrieval,molecular_queries.csv,biomarker_semantic_texts.csv,molecular_biomarker_semantic_qrels.csv,molecule_to_biomarker_semantic_triplets.csv,MRR@10,Recall@5|nDCG@10
