query_id,doc_id,relevance,target_intervention
mol_query_metformin,pair:metformin_hba1c,3,Metformin
mol_query_metformin,pair:metformin_fasting_insulin,3,Metformin
mol_query_metformin,pair:metformin_homa_ir,3,Metformin
mol_query_metformin,pair:metformin_gdf15,2,Metformin
mol_query_metformin,pair:metformin_crp,2,Metformin
mol_query_metformin,pair:metformin_il6,2,Metformin
mol_query_rapamycin,pair:rapamycin_il6,3,Rapamycin
mol_query_rapamycin,pair:rapamycin_crp,3,Rapamycin
mol_query_rapamycin,pair:rapamycin_epigenetic_clock,3,Rapamycin
mol_query_rapamycin,pair:rapamycin_igf_1,2,Rapamycin
mol_query_rapamycin,pair:rapamycin_fasting_insulin,2,Rapamycin
mol_query_rapamycin,pair:rapamycin_gdf15,2,Rapamycin
mol_query_acarbose,pair:acarbose_hba1c,3,Acarbose
mol_query_acarbose,pair:acarbose_fasting_glucose,3,Acarbose
mol_query_acarbose,pair:acarbose_fasting_insulin,3,Acarbose
mol_query_acarbose,pair:acarbose_homa_ir,2,Acarbose
mol_query_acarbose,pair:acarbose_triglycerides,2,Acarbose
mol_query_acarbose,pair:acarbose_crp,2,Acarbose
mol_query_semaglutide,pair:semaglutide_hba1c,3,Semaglutide
mol_query_semaglutide,pair:semaglutide_fasting_glucose,3,Semaglutide
mol_query_semaglutide,pair:semaglutide_body_fat_percentage,3,Semaglutide
mol_query_semaglutide,pair:semaglutide_fasting_insulin,2,Semaglutide
mol_query_semaglutide,pair:semaglutide_triglycerides,2,Semaglutide
mol_query_semaglutide,pair:semaglutide_ldl_c,2,Semaglutide
mol_query_liraglutide,pair:liraglutide_hba1c,3,Liraglutide
mol_query_liraglutide,pair:liraglutide_fasting_glucose,3,Liraglutide
mol_query_liraglutide,pair:liraglutide_body_fat_percentage,3,Liraglutide
mol_query_liraglutide,pair:liraglutide_fasting_insulin,2,Liraglutide
mol_query_liraglutide,pair:liraglutide_triglycerides,2,Liraglutide
mol_query_liraglutide,pair:liraglutide_crp,2,Liraglutide
mol_query_empagliflozin,pair:empagliflozin_hba1c,3,Empagliflozin
mol_query_empagliflozin,pair:empagliflozin_fasting_glucose,3,Empagliflozin
mol_query_empagliflozin,pair:empagliflozin_nt_probnp,3,Empagliflozin
mol_query_empagliflozin,pair:empagliflozin_fasting_insulin,2,Empagliflozin
mol_query_empagliflozin,pair:empagliflozin_body_fat_percentage,2,Empagliflozin
mol_query_empagliflozin,pair:empagliflozin_crp,2,Empagliflozin
mol_query_dasatinib_quercetin,pair:dasatinib_quercetin_sasp_panel,3,Dasatinib + Quercetin
mol_query_dasatinib_quercetin,pair:dasatinib_quercetin_p16ink4a_expression,3,Dasatinib + Quercetin
mol_query_dasatinib_quercetin,pair:dasatinib_quercetin_il6,3,Dasatinib + Quercetin
mol_query_dasatinib_quercetin,pair:dasatinib_quercetin_tnf_alpha,2,Dasatinib + Quercetin
mol_query_dasatinib_quercetin,pair:dasatinib_quercetin_gdf15,2,Dasatinib + Quercetin
mol_query_dasatinib_quercetin,pair:dasatinib_quercetin_crp,2,Dasatinib + Quercetin
mol_query_fisetin,pair:fisetin_sasp_panel,3,Fisetin
mol_query_fisetin,pair:fisetin_p16ink4a_expression,3,Fisetin
mol_query_fisetin,pair:fisetin_il6,3,Fisetin
mol_query_fisetin,pair:fisetin_tnf_alpha,2,Fisetin
mol_query_fisetin,pair:fisetin_gdf15,2,Fisetin
mol_query_nicotinamide_riboside,pair:nicotinamide_riboside_nad_nadh_ratio,3,Nicotinamide Riboside
mol_query_nicotinamide_riboside,pair:nicotinamide_riboside_atp_production,3,Nicotinamide Riboside
mol_query_nicotinamide_riboside,pair:nicotinamide_riboside_mtdna_copy_number,3,Nicotinamide Riboside
mol_query_nicotinamide_riboside,pair:nicotinamide_riboside_fasting_insulin,2,Nicotinamide Riboside
mol_query_nicotinamide_riboside,pair:nicotinamide_riboside_crp,2,Nicotinamide Riboside
mol_query_nicotinamide_riboside,pair:nicotinamide_riboside_il6,2,Nicotinamide Riboside
mol_query_nmn,pair:nmn_nad_nadh_ratio,3,NMN
mol_query_nmn,pair:nmn_atp_production,3,NMN
mol_query_nmn,pair:nmn_mtdna_copy_number,3,NMN
mol_query_nmn,pair:nmn_epigenetic_clock,2,NMN
mol_query_nmn,pair:nmn_fasting_insulin,2,NMN
mol_query_nmn,pair:nmn_crp,2,NMN
mol_query_spermidine,pair:spermidine_epigenetic_clock,3,Spermidine
mol_query_spermidine,pair:spermidine_crp,3,Spermidine
mol_query_spermidine,pair:spermidine_il6,3,Spermidine
mol_query_spermidine,pair:spermidine_mtdna_copy_number,2,Spermidine
mol_query_spermidine,pair:spermidine_gdf15,2,Spermidine
mol_query_resveratrol,pair:resveratrol_crp,3,Resveratrol
mol_query_resveratrol,pair:resveratrol_il6,3,Resveratrol
mol_query_resveratrol,pair:resveratrol_homa_ir,3,Resveratrol
mol_query_resveratrol,pair:resveratrol_tnf_alpha,2,Resveratrol
mol_query_resveratrol,pair:resveratrol_fasting_glucose,2,Resveratrol
mol_query_resveratrol,pair:resveratrol_triglycerides,2,Resveratrol
