triplet_id,split,intervention,canonical_smiles,connectivity_smiles,molecule_type,component_count,positive_id,positive_text,negative_id,negative_text,negative_strategy,target_surrogate
mol_biomarker_semantic_triplet_metformin_hba1c,train,Metformin,CN(C)C(=N)N=C(N)N,CN(C)C(=N)N=C(N)N,single_molecule,1,surrogate:hba1c,"Biomarker semantic profile: HbA1c. Category: metabolic. Pathways: glucose metabolism. Aging hallmarks: deregulated nutrient sensing. Mechanism-of-action contexts: GLP-1 receptor agonism and satiety signaling, AMPK activation and glucose homeostasis, GLP-1 receptor agonism and metabolic regulation, SGLT2 inhibition and glucosuria-driven metabolic unloading, postprandial glucose modulation. Mechanism themes: GLP-1 receptor agonism, satiety signaling, AMPK activation, glucose regulation, SGLT2 inhibition. Linked drug interventions: Semaglutide, Metformin, Liraglutide, Empagliflozin, Acarbose. Why informative: High-confidence surrogate for metabolic response to GLP-1 receptor agonism. Strong medium-term metabolic surrogate that tracks glycemic response in metformin-like interventions. Reliable glycemic surrogate with strong translational familiarity. Mean evidence score: 0.880. Mean surrogate confidence: 0.860. Mean literature support: 0.828.",surrogate:fasting_glucose,"Biomarker semantic profile: fasting glucose. Category: metabolic. Pathways: glucose metabolism. Aging hallmarks: deregulated nutrient sensing. Mechanism-of-action contexts: GLP-1 receptor agonism and satiety signaling, GLP-1 receptor agonism and metabolic regulation, postprandial glucose modulation, SGLT2 inhibition and glucosuria-driven metabolic unloading, stress-response signaling and metabolic modulation. Mechanism themes: GLP-1 receptor agonism, satiety signaling, glucose regulation, SGLT2 inhibition. Linked drug interventions: Semaglutide, Liraglutide, Acarbose, Empagliflozin, Resveratrol. Why informative: Rapid readout of improved glucose regulation. Direct metabolic readout for GLP-1 driven intervention response. Direct and interpretable surrogate for improved glycemic exposure. Mean evidence score: 0.814. Mean surrogate confidence: 0.774. Mean literature support: 0.746.",same_category,HbA1c
mol_biomarker_semantic_triplet_metformin_fasting_insulin,train,Metformin,CN(C)C(=N)N=C(N)N,CN(C)C(=N)N=C(N)N,single_molecule,1,surrogate:fasting_insulin,"Biomarker semantic profile: fasting insulin. Category: metabolic. Pathways: insulin signaling. Aging hallmarks: deregulated nutrient sensing. Mechanism-of-action contexts: AMPK activation and glucose homeostasis, GLP-1 receptor agonism and satiety signaling, GLP-1 receptor agonism and metabolic regulation, postprandial glucose modulation, SGLT2 inhibition and glucosuria-driven metabolic unloading, mTOR inhibition and autophagy. Mechanism themes: AMPK activation, glucose regulation, GLP-1 receptor agonism, satiety signaling, SGLT2 inhibition, mTOR inhibition. Linked drug interventions: Metformin, Semaglutide, Liraglutide, Acarbose, Empagliflozin, Rapamycin, NMN, Nicotinamide Riboside. Why informative: Useful for early readout of improved insulin sensitivity downstream of AMPK activation. Captures improved insulin sensitivity and lower insulin demand. Useful if the pitch emphasizes insulin sensitivity improvement. Mean evidence score: 0.764. Mean surrogate confidence: 0.714. Mean literature support: 0.672.",surrogate:fasting_glucose,"Biomarker semantic profile: fasting glucose. Category: metabolic. Pathways: glucose metabolism. Aging hallmarks: deregulated nutrient sensing. Mechanism-of-action contexts: GLP-1 receptor agonism and satiety signaling, GLP-1 receptor agonism and metabolic regulation, postprandial glucose modulation, SGLT2 inhibition and glucosuria-driven metabolic unloading, stress-response signaling and metabolic modulation. Mechanism themes: GLP-1 receptor agonism, satiety signaling, glucose regulation, SGLT2 inhibition. Linked drug interventions: Semaglutide, Liraglutide, Acarbose, Empagliflozin, Resveratrol. Why informative: Rapid readout of improved glucose regulation. Direct metabolic readout for GLP-1 driven intervention response. Direct and interpretable surrogate for improved glycemic exposure. Mean evidence score: 0.814. Mean surrogate confidence: 0.774. Mean literature support: 0.746.",same_category,fasting insulin
mol_biomarker_semantic_triplet_metformin_homa_ir,train,Metformin,CN(C)C(=N)N=C(N)N,CN(C)C(=N)N=C(N)N,single_molecule,1,surrogate:homa_ir,"Biomarker semantic profile: HOMA-IR. Category: metabolic. Pathways: insulin signaling. Aging hallmarks: deregulated nutrient sensing. Mechanism-of-action contexts: AMPK activation and glucose homeostasis, postprandial glucose modulation, stress-response signaling and metabolic modulation. Mechanism themes: AMPK activation, glucose regulation. Linked drug interventions: Metformin, Acarbose, Resveratrol. Why informative: Composite insulin-resistance surrogate aligned with metabolic flexibility claims. Useful summary surrogate when insulin resistance is part of the trial story. Summarizes insulin-resistance shifts in a single surrogate. Mean evidence score: 0.777. Mean surrogate confidence: 0.737. Mean literature support: 0.693.",surrogate:fasting_glucose,"Biomarker semantic profile: fasting glucose. Category: metabolic. Pathways: glucose metabolism. Aging hallmarks: deregulated nutrient sensing. Mechanism-of-action contexts: GLP-1 receptor agonism and satiety signaling, GLP-1 receptor agonism and metabolic regulation, postprandial glucose modulation, SGLT2 inhibition and glucosuria-driven metabolic unloading, stress-response signaling and metabolic modulation. Mechanism themes: GLP-1 receptor agonism, satiety signaling, glucose regulation, SGLT2 inhibition. Linked drug interventions: Semaglutide, Liraglutide, Acarbose, Empagliflozin, Resveratrol. Why informative: Rapid readout of improved glucose regulation. Direct metabolic readout for GLP-1 driven intervention response. Direct and interpretable surrogate for improved glycemic exposure. Mean evidence score: 0.814. Mean surrogate confidence: 0.774. Mean literature support: 0.746.",same_category,HOMA-IR
mol_biomarker_semantic_triplet_metformin_gdf15,train,Metformin,CN(C)C(=N)N=C(N)N,CN(C)C(=N)N=C(N)N,single_molecule,1,surrogate:gdf15,"Biomarker semantic profile: GDF15. Category: stress response. Pathways: integrated stress response. Aging hallmarks: cellular senescence. Mechanism-of-action contexts: AMPK activation and glucose homeostasis, senolytic combination targeting senescent cell survival pathways, senolytic flavonoid with anti-inflammatory and stress-response effects, mTOR inhibition and autophagy, autophagy induction and cellular maintenance. Mechanism themes: AMPK activation, glucose regulation, senolytic activity, mTOR inhibition, autophagy induction. Linked drug interventions: Metformin, Dasatinib + Quercetin, Fisetin, Rapamycin, Spermidine. Why informative: Mechanistically relevant stress-response biomarker frequently discussed for metformin exposure and response. Stress and tissue-dysfunction marker useful for translational follow-up. Stress-response surrogate for systemic adaptation and tissue burden. Mean evidence score: 0.712. Mean surrogate confidence: 0.632. Mean literature support: 0.606.",surrogate:sasp_panel,"Biomarker semantic profile: SASP panel. Category: senescence. Pathways: secretory phenotype. Aging hallmarks: cellular senescence. Mechanism-of-action contexts: senolytic combination targeting senescent cell survival pathways, senolytic flavonoid with anti-inflammatory and stress-response effects. Mechanism themes: senolytic activity. Linked drug interventions: Dasatinib + Quercetin, Fisetin. Why informative: Best match when the intervention claim is senolysis and reduced secretory phenotype. Captures the senescence-linked secretory phenotype targeted by fisetin-like compounds. Mean evidence score: 0.870. Mean surrogate confidence: 0.810. Mean literature support: 0.745.",same_hallmark,GDF15
mol_biomarker_semantic_triplet_metformin_crp,train,Metformin,CN(C)C(=N)N=C(N)N,CN(C)C(=N)N=C(N)N,single_molecule,1,surrogate:crp,"Biomarker semantic profile: CRP. Category: inflammation. Pathways: inflammation signaling. Aging hallmarks: inflammaging. Mechanism-of-action contexts: mTOR inhibition and autophagy, AMPK activation and glucose homeostasis, stress-response signaling and metabolic modulation, GLP-1 receptor agonism and metabolic regulation, autophagy induction and cellular maintenance, SGLT2 inhibition and glucosuria-driven metabolic unloading. Mechanism themes: mTOR inhibition, autophagy induction, AMPK activation, glucose regulation, GLP-1 receptor agonism, SGLT2 inhibition. Linked drug interventions: Rapamycin, Metformin, Resveratrol, Liraglutide, Spermidine, Empagliflozin, Dasatinib + Quercetin, Acarbose. Why informative: Accessible systemic inflammation surrogate for rapamycin-like interventions. Captures the inflammatory spillover often improved when metabolic control improves. Straightforward inflammation surrogate for stress-response modulation. Mean evidence score: 0.706. Mean surrogate confidence: 0.605. Mean literature support: 0.617.",surrogate:tnf_alpha,"Biomarker semantic profile: TNF-alpha. Category: inflammation. Pathways: cytokine signaling. Aging hallmarks: inflammaging. Mechanism-of-action contexts: senolytic combination targeting senescent cell survival pathways, senolytic flavonoid with anti-inflammatory and stress-response effects, stress-response signaling and metabolic modulation. Mechanism themes: senolytic activity. Linked drug interventions: Dasatinib + Quercetin, Fisetin, Resveratrol. Why informative: Supports the anti-inflammatory senescence-clearance story. Supports inflammation-resolution claims around fisetin. Adds mechanistic depth to anti-inflammatory positioning. Mean evidence score: 0.733. Mean surrogate confidence: 0.637. Mean literature support: 0.647.",same_category,CRP
mol_biomarker_semantic_triplet_metformin_il6,train,Metformin,CN(C)C(=N)N=C(N)N,CN(C)C(=N)N=C(N)N,single_molecule,1,surrogate:il6,"Biomarker semantic profile: IL6. Category: inflammation. Pathways: cytokine signaling. Aging hallmarks: inflammaging. Mechanism-of-action contexts: mTOR inhibition and autophagy, senolytic combination targeting senescent cell survival pathways, senolytic flavonoid with anti-inflammatory and stress-response effects, AMPK activation and glucose homeostasis, stress-response signaling and metabolic modulation, autophagy induction and cellular maintenance. Mechanism themes: mTOR inhibition, autophagy induction, senolytic activity, AMPK activation, glucose regulation. Linked drug interventions: Rapamycin, Dasatinib + Quercetin, Fisetin, Metformin, Resveratrol, Spermidine, Nicotinamide Riboside. Why informative: Inflammatory cytokine suited to tracking immunometabolic effects of mTOR inhibition. Inflammatory cytokine linked to SASP and inflammaging. Inflammaging-linked cytokine with strong demo interpretability. Mean evidence score: 0.734. Mean surrogate confidence: 0.637. Mean literature support: 0.650.",surrogate:tnf_alpha,"Biomarker semantic profile: TNF-alpha. Category: inflammation. Pathways: cytokine signaling. Aging hallmarks: inflammaging. Mechanism-of-action contexts: senolytic combination targeting senescent cell survival pathways, senolytic flavonoid with anti-inflammatory and stress-response effects, stress-response signaling and metabolic modulation. Mechanism themes: senolytic activity. Linked drug interventions: Dasatinib + Quercetin, Fisetin, Resveratrol. Why informative: Supports the anti-inflammatory senescence-clearance story. Supports inflammation-resolution claims around fisetin. Adds mechanistic depth to anti-inflammatory positioning. Mean evidence score: 0.733. Mean surrogate confidence: 0.637. Mean literature support: 0.647.",same_category,IL6
mol_biomarker_semantic_triplet_rapamycin_il6,val,Rapamycin,CC1CCC2CC(C(=CC=CC=CC(CC(C(=O)C(C(C(=CC(C(=O)CC(OC(=O)C3CCCCN3C(=O)C(=O)C1(O2)O)C(C)CC4CCC(C(C4)OC)O)C)C)O)OC)C)C)C)OC,CC1CCC2CC(C(=CC=CC=CC(CC(C(=O)C(C(C(=CC(C(=O)CC(OC(=O)C3CCCCN3C(=O)C(=O)C1(O2)O)C(C)CC4CCC(C(C4)OC)O)C)C)O)OC)C)C)C)OC,single_molecule,1,surrogate:il6,"Biomarker semantic profile: IL6. Category: inflammation. Pathways: cytokine signaling. Aging hallmarks: inflammaging. Mechanism-of-action contexts: mTOR inhibition and autophagy, senolytic combination targeting senescent cell survival pathways, senolytic flavonoid with anti-inflammatory and stress-response effects, AMPK activation and glucose homeostasis, stress-response signaling and metabolic modulation, autophagy induction and cellular maintenance. Mechanism themes: mTOR inhibition, autophagy induction, senolytic activity, AMPK activation, glucose regulation. Linked drug interventions: Rapamycin, Dasatinib + Quercetin, Fisetin, Metformin, Resveratrol, Spermidine, Nicotinamide Riboside. Why informative: Inflammatory cytokine suited to tracking immunometabolic effects of mTOR inhibition. Inflammatory cytokine linked to SASP and inflammaging. Inflammaging-linked cytokine with strong demo interpretability. Mean evidence score: 0.734. Mean surrogate confidence: 0.637. Mean literature support: 0.650.",surrogate:tnf_alpha,"Biomarker semantic profile: TNF-alpha. Category: inflammation. Pathways: cytokine signaling. Aging hallmarks: inflammaging. Mechanism-of-action contexts: senolytic combination targeting senescent cell survival pathways, senolytic flavonoid with anti-inflammatory and stress-response effects, stress-response signaling and metabolic modulation. Mechanism themes: senolytic activity. Linked drug interventions: Dasatinib + Quercetin, Fisetin, Resveratrol. Why informative: Supports the anti-inflammatory senescence-clearance story. Supports inflammation-resolution claims around fisetin. Adds mechanistic depth to anti-inflammatory positioning. Mean evidence score: 0.733. Mean surrogate confidence: 0.637. Mean literature support: 0.647.",same_category,IL6
mol_biomarker_semantic_triplet_rapamycin_crp,val,Rapamycin,CC1CCC2CC(C(=CC=CC=CC(CC(C(=O)C(C(C(=CC(C(=O)CC(OC(=O)C3CCCCN3C(=O)C(=O)C1(O2)O)C(C)CC4CCC(C(C4)OC)O)C)C)O)OC)C)C)C)OC,CC1CCC2CC(C(=CC=CC=CC(CC(C(=O)C(C(C(=CC(C(=O)CC(OC(=O)C3CCCCN3C(=O)C(=O)C1(O2)O)C(C)CC4CCC(C(C4)OC)O)C)C)O)OC)C)C)C)OC,single_molecule,1,surrogate:crp,"Biomarker semantic profile: CRP. Category: inflammation. Pathways: inflammation signaling. Aging hallmarks: inflammaging. Mechanism-of-action contexts: mTOR inhibition and autophagy, AMPK activation and glucose homeostasis, stress-response signaling and metabolic modulation, GLP-1 receptor agonism and metabolic regulation, autophagy induction and cellular maintenance, SGLT2 inhibition and glucosuria-driven metabolic unloading. Mechanism themes: mTOR inhibition, autophagy induction, AMPK activation, glucose regulation, GLP-1 receptor agonism, SGLT2 inhibition. Linked drug interventions: Rapamycin, Metformin, Resveratrol, Liraglutide, Spermidine, Empagliflozin, Dasatinib + Quercetin, Acarbose. Why informative: Accessible systemic inflammation surrogate for rapamycin-like interventions. Captures the inflammatory spillover often improved when metabolic control improves. Straightforward inflammation surrogate for stress-response modulation. Mean evidence score: 0.706. Mean surrogate confidence: 0.605. Mean literature support: 0.617.",surrogate:tnf_alpha,"Biomarker semantic profile: TNF-alpha. Category: inflammation. Pathways: cytokine signaling. Aging hallmarks: inflammaging. Mechanism-of-action contexts: senolytic combination targeting senescent cell survival pathways, senolytic flavonoid with anti-inflammatory and stress-response effects, stress-response signaling and metabolic modulation. Mechanism themes: senolytic activity. Linked drug interventions: Dasatinib + Quercetin, Fisetin, Resveratrol. Why informative: Supports the anti-inflammatory senescence-clearance story. Supports inflammation-resolution claims around fisetin. Adds mechanistic depth to anti-inflammatory positioning. Mean evidence score: 0.733. Mean surrogate confidence: 0.637. Mean literature support: 0.647.",same_category,CRP
mol_biomarker_semantic_triplet_rapamycin_epigenetic_clock,val,Rapamycin,CC1CCC2CC(C(=CC=CC=CC(CC(C(=O)C(C(C(=CC(C(=O)CC(OC(=O)C3CCCCN3C(=O)C(=O)C1(O2)O)C(C)CC4CCC(C(C4)OC)O)C)C)O)OC)C)C)C)OC,CC1CCC2CC(C(=CC=CC=CC(CC(C(=O)C(C(C(=CC(C(=O)CC(OC(=O)C3CCCCN3C(=O)C(=O)C1(O2)O)C(C)CC4CCC(C(C4)OC)O)C)C)O)OC)C)C)C)OC,single_molecule,1,surrogate:epigenetic_clock,"Biomarker semantic profile: epigenetic clock. Category: epigenetic aging. Pathways: aging clocks. Aging hallmarks: genomic instability. Mechanism-of-action contexts: mTOR inhibition and autophagy, autophagy induction and cellular maintenance, NAD+ precursor supporting redox balance and metabolic resilience. Mechanism themes: mTOR inhibition, autophagy induction, NAD+ restoration. Linked drug interventions: Rapamycin, Spermidine, NMN. Why informative: Longer-horizon systems-level surrogate for biological age modulation. Useful high-level aging surrogate for autophagy-focused interventions. Ambitious but demo-relevant systems-level surrogate for biological age framing. Mean evidence score: 0.740. Mean surrogate confidence: 0.767. Mean literature support: 0.580.",surrogate:nad_nadh_ratio,"Biomarker semantic profile: NAD+ NADH ratio. Category: mitochondrial. Pathways: redox balance. Aging hallmarks: mitochondrial dysfunction. Mechanism-of-action contexts: NAD+ precursor supporting mitochondrial energetics, NAD+ precursor supporting redox balance and metabolic resilience. Mechanism themes: NAD+ restoration, mitochondrial bioenergetics. Linked drug interventions: Nicotinamide Riboside, NMN. Why informative: Closest mechanistic surrogate to the intended NAD-boosting effect. Primary surrogate for confirming on-target NAD restoration. Mean evidence score: 0.885. Mean surrogate confidence: 0.805. Mean literature support: 0.760.",fallback,epigenetic clock
mol_biomarker_semantic_triplet_rapamycin_igf_1,val,Rapamycin,CC1CCC2CC(C(=CC=CC=CC(CC(C(=O)C(C(C(=CC(C(=O)CC(OC(=O)C3CCCCN3C(=O)C(=O)C1(O2)O)C(C)CC4CCC(C(C4)OC)O)C)C)O)OC)C)C)C)OC,CC1CCC2CC(C(=CC=CC=CC(CC(C(=O)C(C(C(=CC(C(=O)CC(OC(=O)C3CCCCN3C(=O)C(=O)C1(O2)O)C(C)CC4CCC(C(C4)OC)O)C)C)O)OC)C)C)C)OC,single_molecule,1,surrogate:igf_1,"Biomarker semantic profile: IGF-1. Category: growth signaling. Pathways: insulin IGF signaling. Aging hallmarks: deregulated nutrient sensing. Mechanism-of-action contexts: mTOR inhibition and autophagy. Mechanism themes: mTOR inhibition, autophagy induction. Linked drug interventions: Rapamycin. Why informative: Nutrient-sensing related biomarker consistent with upstream pathway modulation. Mean evidence score: 0.740. Mean surrogate confidence: 0.680. Mean literature support: 0.660.",surrogate:hba1c,"Biomarker semantic profile: HbA1c. Category: metabolic. Pathways: glucose metabolism. Aging hallmarks: deregulated nutrient sensing. Mechanism-of-action contexts: GLP-1 receptor agonism and satiety signaling, AMPK activation and glucose homeostasis, GLP-1 receptor agonism and metabolic regulation, SGLT2 inhibition and glucosuria-driven metabolic unloading, postprandial glucose modulation. Mechanism themes: GLP-1 receptor agonism, satiety signaling, AMPK activation, glucose regulation, SGLT2 inhibition. Linked drug interventions: Semaglutide, Metformin, Liraglutide, Empagliflozin, Acarbose. Why informative: High-confidence surrogate for metabolic response to GLP-1 receptor agonism. Strong medium-term metabolic surrogate that tracks glycemic response in metformin-like interventions. Reliable glycemic surrogate with strong translational familiarity. Mean evidence score: 0.880. Mean surrogate confidence: 0.860. Mean literature support: 0.828.",same_hallmark,IGF-1
