triplet_id,split,intervention,canonical_smiles,connectivity_smiles,molecule_type,component_count,positive_id,positive_text,negative_id,negative_text,negative_strategy,target_surrogate
mol_pair_triplet_metformin_hba1c,train,Metformin,CN(C)C(=N)N=C(N)N,CN(C)C(=N)N=C(N)N,single_molecule,1,pair:metformin_hba1c,Drug intervention: Metformin. Mechanism: AMPK activation and glucose homeostasis. Recommended surrogate: HbA1c. Biomarker category: metabolic. Pathway: glucose metabolism. Aging hallmark: deregulated nutrient sensing. Evidence score: 0.900. Surrogate confidence: 0.880. Literature support: 0.860. Reason: Strong medium-term metabolic surrogate that tracks glycemic response in metformin-like interventions.,pair:semaglutide_hba1c,Drug intervention: Semaglutide. Mechanism: GLP-1 receptor agonism and satiety signaling. Recommended surrogate: HbA1c. Biomarker category: metabolic. Pathway: glucose metabolism. Aging hallmark: deregulated nutrient sensing. Evidence score: 0.900. Surrogate confidence: 0.890. Literature support: 0.860. Reason: High-confidence surrogate for metabolic response to GLP-1 receptor agonism.,same_category,HbA1c
mol_pair_triplet_metformin_fasting_insulin,train,Metformin,CN(C)C(=N)N=C(N)N,CN(C)C(=N)N=C(N)N,single_molecule,1,pair:metformin_fasting_insulin,Drug intervention: Metformin. Mechanism: AMPK activation and glucose homeostasis. Recommended surrogate: fasting insulin. Biomarker category: metabolic. Pathway: insulin signaling. Aging hallmark: deregulated nutrient sensing. Evidence score: 0.860. Surrogate confidence: 0.840. Literature support: 0.800. Reason: Useful for early readout of improved insulin sensitivity downstream of AMPK activation.,pair:semaglutide_hba1c,Drug intervention: Semaglutide. Mechanism: GLP-1 receptor agonism and satiety signaling. Recommended surrogate: HbA1c. Biomarker category: metabolic. Pathway: glucose metabolism. Aging hallmark: deregulated nutrient sensing. Evidence score: 0.900. Surrogate confidence: 0.890. Literature support: 0.860. Reason: High-confidence surrogate for metabolic response to GLP-1 receptor agonism.,same_category,fasting insulin
mol_pair_triplet_metformin_homa_ir,train,Metformin,CN(C)C(=N)N=C(N)N,CN(C)C(=N)N=C(N)N,single_molecule,1,pair:metformin_homa_ir,Drug intervention: Metformin. Mechanism: AMPK activation and glucose homeostasis. Recommended surrogate: HOMA-IR. Biomarker category: metabolic. Pathway: insulin signaling. Aging hallmark: deregulated nutrient sensing. Evidence score: 0.840. Surrogate confidence: 0.820. Literature support: 0.780. Reason: Composite insulin-resistance surrogate aligned with metabolic flexibility claims.,pair:semaglutide_hba1c,Drug intervention: Semaglutide. Mechanism: GLP-1 receptor agonism and satiety signaling. Recommended surrogate: HbA1c. Biomarker category: metabolic. Pathway: glucose metabolism. Aging hallmark: deregulated nutrient sensing. Evidence score: 0.900. Surrogate confidence: 0.890. Literature support: 0.860. Reason: High-confidence surrogate for metabolic response to GLP-1 receptor agonism.,same_category,HOMA-IR
mol_pair_triplet_metformin_gdf15,train,Metformin,CN(C)C(=N)N=C(N)N,CN(C)C(=N)N=C(N)N,single_molecule,1,pair:metformin_gdf15,Drug intervention: Metformin. Mechanism: AMPK activation and glucose homeostasis. Recommended surrogate: GDF15. Biomarker category: stress response. Pathway: integrated stress response. Aging hallmark: cellular senescence. Evidence score: 0.800. Surrogate confidence: 0.740. Literature support: 0.720. Reason: Mechanistically relevant stress-response biomarker frequently discussed for metformin exposure and response.,pair:dasatinib_quercetin_gdf15,Drug intervention: Dasatinib + Quercetin. Mechanism: senolytic combination targeting senescent cell survival pathways. Recommended surrogate: GDF15. Biomarker category: stress response. Pathway: integrated stress response. Aging hallmark: cellular senescence. Evidence score: 0.730. Surrogate confidence: 0.640. Literature support: 0.610. Reason: Stress and tissue-dysfunction marker useful for translational follow-up.,same_category,GDF15
mol_pair_triplet_metformin_crp,train,Metformin,CN(C)C(=N)N=C(N)N,CN(C)C(=N)N=C(N)N,single_molecule,1,pair:metformin_crp,Drug intervention: Metformin. Mechanism: AMPK activation and glucose homeostasis. Recommended surrogate: CRP. Biomarker category: inflammation. Pathway: inflammation signaling. Aging hallmark: inflammaging. Evidence score: 0.750. Surrogate confidence: 0.660. Literature support: 0.700. Reason: Captures the inflammatory spillover often improved when metabolic control improves.,pair:rapamycin_il6,Drug intervention: Rapamycin. Mechanism: mTOR inhibition and autophagy. Recommended surrogate: IL6. Biomarker category: inflammation. Pathway: cytokine signaling. Aging hallmark: inflammaging. Evidence score: 0.820. Surrogate confidence: 0.710. Literature support: 0.740. Reason: Inflammatory cytokine suited to tracking immunometabolic effects of mTOR inhibition.,same_category,CRP
mol_pair_triplet_metformin_il6,train,Metformin,CN(C)C(=N)N=C(N)N,CN(C)C(=N)N=C(N)N,single_molecule,1,pair:metformin_il6,Drug intervention: Metformin. Mechanism: AMPK activation and glucose homeostasis. Recommended surrogate: IL6. Biomarker category: inflammation. Pathway: cytokine signaling. Aging hallmark: inflammaging. Evidence score: 0.720. Surrogate confidence: 0.630. Literature support: 0.670. Reason: Links metabolic intervention response to inflammaging biology.,pair:rapamycin_il6,Drug intervention: Rapamycin. Mechanism: mTOR inhibition and autophagy. Recommended surrogate: IL6. Biomarker category: inflammation. Pathway: cytokine signaling. Aging hallmark: inflammaging. Evidence score: 0.820. Surrogate confidence: 0.710. Literature support: 0.740. Reason: Inflammatory cytokine suited to tracking immunometabolic effects of mTOR inhibition.,same_category,IL6
mol_pair_triplet_rapamycin_il6,val,Rapamycin,CC1CCC2CC(C(=CC=CC=CC(CC(C(=O)C(C(C(=CC(C(=O)CC(OC(=O)C3CCCCN3C(=O)C(=O)C1(O2)O)C(C)CC4CCC(C(C4)OC)O)C)C)O)OC)C)C)C)OC,CC1CCC2CC(C(=CC=CC=CC(CC(C(=O)C(C(C(=CC(C(=O)CC(OC(=O)C3CCCCN3C(=O)C(=O)C1(O2)O)C(C)CC4CCC(C(C4)OC)O)C)C)O)OC)C)C)C)OC,single_molecule,1,pair:rapamycin_il6,Drug intervention: Rapamycin. Mechanism: mTOR inhibition and autophagy. Recommended surrogate: IL6. Biomarker category: inflammation. Pathway: cytokine signaling. Aging hallmark: inflammaging. Evidence score: 0.820. Surrogate confidence: 0.710. Literature support: 0.740. Reason: Inflammatory cytokine suited to tracking immunometabolic effects of mTOR inhibition.,pair:dasatinib_quercetin_il6,Drug intervention: Dasatinib + Quercetin. Mechanism: senolytic combination targeting senescent cell survival pathways. Recommended surrogate: IL6. Biomarker category: inflammation. Pathway: cytokine signaling. Aging hallmark: inflammaging. Evidence score: 0.800. Surrogate confidence: 0.700. Literature support: 0.720. Reason: Inflammatory cytokine linked to SASP and inflammaging.,same_category,IL6
mol_pair_triplet_rapamycin_crp,val,Rapamycin,CC1CCC2CC(C(=CC=CC=CC(CC(C(=O)C(C(C(=CC(C(=O)CC(OC(=O)C3CCCCN3C(=O)C(=O)C1(O2)O)C(C)CC4CCC(C(C4)OC)O)C)C)O)OC)C)C)C)OC,CC1CCC2CC(C(=CC=CC=CC(CC(C(=O)C(C(C(=CC(C(=O)CC(OC(=O)C3CCCCN3C(=O)C(=O)C1(O2)O)C(C)CC4CCC(C(C4)OC)O)C)C)O)OC)C)C)C)OC,single_molecule,1,pair:rapamycin_crp,Drug intervention: Rapamycin. Mechanism: mTOR inhibition and autophagy. Recommended surrogate: CRP. Biomarker category: inflammation. Pathway: inflammation signaling. Aging hallmark: inflammaging. Evidence score: 0.780. Surrogate confidence: 0.660. Literature support: 0.720. Reason: Accessible systemic inflammation surrogate for rapamycin-like interventions.,pair:dasatinib_quercetin_il6,Drug intervention: Dasatinib + Quercetin. Mechanism: senolytic combination targeting senescent cell survival pathways. Recommended surrogate: IL6. Biomarker category: inflammation. Pathway: cytokine signaling. Aging hallmark: inflammaging. Evidence score: 0.800. Surrogate confidence: 0.700. Literature support: 0.720. Reason: Inflammatory cytokine linked to SASP and inflammaging.,same_category,CRP
mol_pair_triplet_rapamycin_epigenetic_clock,val,Rapamycin,CC1CCC2CC(C(=CC=CC=CC(CC(C(=O)C(C(C(=CC(C(=O)CC(OC(=O)C3CCCCN3C(=O)C(=O)C1(O2)O)C(C)CC4CCC(C(C4)OC)O)C)C)O)OC)C)C)C)OC,CC1CCC2CC(C(=CC=CC=CC(CC(C(=O)C(C(C(=CC(C(=O)CC(OC(=O)C3CCCCN3C(=O)C(=O)C1(O2)O)C(C)CC4CCC(C(C4)OC)O)C)C)O)OC)C)C)C)OC,single_molecule,1,pair:rapamycin_epigenetic_clock,Drug intervention: Rapamycin. Mechanism: mTOR inhibition and autophagy. Recommended surrogate: epigenetic clock. Biomarker category: epigenetic aging. Pathway: aging clocks. Aging hallmark: genomic instability. Evidence score: 0.760. Surrogate confidence: 0.800. Literature support: 0.620. Reason: Longer-horizon systems-level surrogate for biological age modulation.,pair:spermidine_epigenetic_clock,Drug intervention: Spermidine. Mechanism: autophagy induction and cellular maintenance. Recommended surrogate: epigenetic clock. Biomarker category: epigenetic aging. Pathway: aging clocks. Aging hallmark: genomic instability. Evidence score: 0.760. Surrogate confidence: 0.780. Literature support: 0.600. Reason: Useful high-level aging surrogate for autophagy-focused interventions.,same_category,epigenetic clock
mol_pair_triplet_rapamycin_igf_1,val,Rapamycin,CC1CCC2CC(C(=CC=CC=CC(CC(C(=O)C(C(C(=CC(C(=O)CC(OC(=O)C3CCCCN3C(=O)C(=O)C1(O2)O)C(C)CC4CCC(C(C4)OC)O)C)C)O)OC)C)C)C)OC,CC1CCC2CC(C(=CC=CC=CC(CC(C(=O)C(C(C(=CC(C(=O)CC(OC(=O)C3CCCCN3C(=O)C(=O)C1(O2)O)C(C)CC4CCC(C(C4)OC)O)C)C)O)OC)C)C)C)OC,single_molecule,1,pair:rapamycin_igf_1,Drug intervention: Rapamycin. Mechanism: mTOR inhibition and autophagy. Recommended surrogate: IGF-1. Biomarker category: growth signaling. Pathway: insulin IGF signaling. Aging hallmark: deregulated nutrient sensing. Evidence score: 0.740. Surrogate confidence: 0.680. Literature support: 0.660. Reason: Nutrient-sensing related biomarker consistent with upstream pathway modulation.,pair:metformin_hba1c,Drug intervention: Metformin. Mechanism: AMPK activation and glucose homeostasis. Recommended surrogate: HbA1c. Biomarker category: metabolic. Pathway: glucose metabolism. Aging hallmark: deregulated nutrient sensing. Evidence score: 0.900. Surrogate confidence: 0.880. Literature support: 0.860. Reason: Strong medium-term metabolic surrogate that tracks glycemic response in metformin-like interventions.,same_hallmark,IGF-1
