triplet_id,split,intervention,canonical_smiles,connectivity_smiles,molecule_type,component_count,positive_id,positive_text,negative_id,negative_text,negative_strategy,target_surrogate
mol_surrogate_triplet_metformin_hba1c,train,Metformin,CN(C)C(=N)N=C(N)N,CN(C)C(=N)N=C(N)N,single_molecule,1,surrogate:hba1c,"Surrogate biomarker: HbA1c. Category: metabolic. Pathways: glucose metabolism. Aging hallmarks: deregulated nutrient sensing. Observed across interventions: Semaglutide, Metformin, Liraglutide, Empagliflozin, Acarbose.",surrogate:fasting_glucose,"Surrogate biomarker: fasting glucose. Category: metabolic. Pathways: glucose metabolism. Aging hallmarks: deregulated nutrient sensing. Observed across interventions: Semaglutide, Liraglutide, Acarbose, Empagliflozin, Resveratrol.",same_category,HbA1c
mol_surrogate_triplet_metformin_fasting_insulin,train,Metformin,CN(C)C(=N)N=C(N)N,CN(C)C(=N)N=C(N)N,single_molecule,1,surrogate:fasting_insulin,"Surrogate biomarker: fasting insulin. Category: metabolic. Pathways: insulin signaling. Aging hallmarks: deregulated nutrient sensing. Observed across interventions: Metformin, Semaglutide, Liraglutide, Acarbose, Empagliflozin, Rapamycin, NMN, Nicotinamide Riboside.",surrogate:fasting_glucose,"Surrogate biomarker: fasting glucose. Category: metabolic. Pathways: glucose metabolism. Aging hallmarks: deregulated nutrient sensing. Observed across interventions: Semaglutide, Liraglutide, Acarbose, Empagliflozin, Resveratrol.",same_category,fasting insulin
mol_surrogate_triplet_metformin_homa_ir,train,Metformin,CN(C)C(=N)N=C(N)N,CN(C)C(=N)N=C(N)N,single_molecule,1,surrogate:homa_ir,"Surrogate biomarker: HOMA-IR. Category: metabolic. Pathways: insulin signaling. Aging hallmarks: deregulated nutrient sensing. Observed across interventions: Metformin, Acarbose, Resveratrol.",surrogate:fasting_glucose,"Surrogate biomarker: fasting glucose. Category: metabolic. Pathways: glucose metabolism. Aging hallmarks: deregulated nutrient sensing. Observed across interventions: Semaglutide, Liraglutide, Acarbose, Empagliflozin, Resveratrol.",same_category,HOMA-IR
mol_surrogate_triplet_metformin_gdf15,train,Metformin,CN(C)C(=N)N=C(N)N,CN(C)C(=N)N=C(N)N,single_molecule,1,surrogate:gdf15,"Surrogate biomarker: GDF15. Category: stress response. Pathways: integrated stress response. Aging hallmarks: cellular senescence. Observed across interventions: Metformin, Dasatinib + Quercetin, Fisetin, Rapamycin, Spermidine.",surrogate:sasp_panel,"Surrogate biomarker: SASP panel. Category: senescence. Pathways: secretory phenotype. Aging hallmarks: cellular senescence. Observed across interventions: Dasatinib + Quercetin, Fisetin.",same_hallmark,GDF15
mol_surrogate_triplet_metformin_crp,train,Metformin,CN(C)C(=N)N=C(N)N,CN(C)C(=N)N=C(N)N,single_molecule,1,surrogate:crp,"Surrogate biomarker: CRP. Category: inflammation. Pathways: inflammation signaling. Aging hallmarks: inflammaging. Observed across interventions: Rapamycin, Metformin, Resveratrol, Liraglutide, Spermidine, Empagliflozin, Dasatinib + Quercetin, Acarbose.",surrogate:tnf_alpha,"Surrogate biomarker: TNF-alpha. Category: inflammation. Pathways: cytokine signaling. Aging hallmarks: inflammaging. Observed across interventions: Dasatinib + Quercetin, Fisetin, Resveratrol.",same_category,CRP
mol_surrogate_triplet_metformin_il6,train,Metformin,CN(C)C(=N)N=C(N)N,CN(C)C(=N)N=C(N)N,single_molecule,1,surrogate:il6,"Surrogate biomarker: IL6. Category: inflammation. Pathways: cytokine signaling. Aging hallmarks: inflammaging. Observed across interventions: Rapamycin, Dasatinib + Quercetin, Fisetin, Metformin, Resveratrol, Spermidine, Nicotinamide Riboside.",surrogate:tnf_alpha,"Surrogate biomarker: TNF-alpha. Category: inflammation. Pathways: cytokine signaling. Aging hallmarks: inflammaging. Observed across interventions: Dasatinib + Quercetin, Fisetin, Resveratrol.",same_category,IL6
mol_surrogate_triplet_rapamycin_il6,val,Rapamycin,CC1CCC2CC(C(=CC=CC=CC(CC(C(=O)C(C(C(=CC(C(=O)CC(OC(=O)C3CCCCN3C(=O)C(=O)C1(O2)O)C(C)CC4CCC(C(C4)OC)O)C)C)O)OC)C)C)C)OC,CC1CCC2CC(C(=CC=CC=CC(CC(C(=O)C(C(C(=CC(C(=O)CC(OC(=O)C3CCCCN3C(=O)C(=O)C1(O2)O)C(C)CC4CCC(C(C4)OC)O)C)C)O)OC)C)C)C)OC,single_molecule,1,surrogate:il6,"Surrogate biomarker: IL6. Category: inflammation. Pathways: cytokine signaling. Aging hallmarks: inflammaging. Observed across interventions: Rapamycin, Dasatinib + Quercetin, Fisetin, Metformin, Resveratrol, Spermidine, Nicotinamide Riboside.",surrogate:tnf_alpha,"Surrogate biomarker: TNF-alpha. Category: inflammation. Pathways: cytokine signaling. Aging hallmarks: inflammaging. Observed across interventions: Dasatinib + Quercetin, Fisetin, Resveratrol.",same_category,IL6
mol_surrogate_triplet_rapamycin_crp,val,Rapamycin,CC1CCC2CC(C(=CC=CC=CC(CC(C(=O)C(C(C(=CC(C(=O)CC(OC(=O)C3CCCCN3C(=O)C(=O)C1(O2)O)C(C)CC4CCC(C(C4)OC)O)C)C)O)OC)C)C)C)OC,CC1CCC2CC(C(=CC=CC=CC(CC(C(=O)C(C(C(=CC(C(=O)CC(OC(=O)C3CCCCN3C(=O)C(=O)C1(O2)O)C(C)CC4CCC(C(C4)OC)O)C)C)O)OC)C)C)C)OC,single_molecule,1,surrogate:crp,"Surrogate biomarker: CRP. Category: inflammation. Pathways: inflammation signaling. Aging hallmarks: inflammaging. Observed across interventions: Rapamycin, Metformin, Resveratrol, Liraglutide, Spermidine, Empagliflozin, Dasatinib + Quercetin, Acarbose.",surrogate:tnf_alpha,"Surrogate biomarker: TNF-alpha. Category: inflammation. Pathways: cytokine signaling. Aging hallmarks: inflammaging. Observed across interventions: Dasatinib + Quercetin, Fisetin, Resveratrol.",same_category,CRP
mol_surrogate_triplet_rapamycin_epigenetic_clock,val,Rapamycin,CC1CCC2CC(C(=CC=CC=CC(CC(C(=O)C(C(C(=CC(C(=O)CC(OC(=O)C3CCCCN3C(=O)C(=O)C1(O2)O)C(C)CC4CCC(C(C4)OC)O)C)C)O)OC)C)C)C)OC,CC1CCC2CC(C(=CC=CC=CC(CC(C(=O)C(C(C(=CC(C(=O)CC(OC(=O)C3CCCCN3C(=O)C(=O)C1(O2)O)C(C)CC4CCC(C(C4)OC)O)C)C)O)OC)C)C)C)OC,single_molecule,1,surrogate:epigenetic_clock,"Surrogate biomarker: epigenetic clock. Category: epigenetic aging. Pathways: aging clocks. Aging hallmarks: genomic instability. Observed across interventions: Rapamycin, Spermidine, NMN.",surrogate:nad_nadh_ratio,"Surrogate biomarker: NAD+ NADH ratio. Category: mitochondrial. Pathways: redox balance. Aging hallmarks: mitochondrial dysfunction. Observed across interventions: Nicotinamide Riboside, NMN.",fallback,epigenetic clock
mol_surrogate_triplet_rapamycin_igf_1,val,Rapamycin,CC1CCC2CC(C(=CC=CC=CC(CC(C(=O)C(C(C(=CC(C(=O)CC(OC(=O)C3CCCCN3C(=O)C(=O)C1(O2)O)C(C)CC4CCC(C(C4)OC)O)C)C)O)OC)C)C)C)OC,CC1CCC2CC(C(=CC=CC=CC(CC(C(=O)C(C(C(=CC(C(=O)CC(OC(=O)C3CCCCN3C(=O)C(=O)C1(O2)O)C(C)CC4CCC(C(C4)OC)O)C)C)O)OC)C)C)C)OC,single_molecule,1,surrogate:igf_1,Surrogate biomarker: IGF-1. Category: growth signaling. Pathways: insulin IGF signaling. Aging hallmarks: deregulated nutrient sensing. Observed across interventions: Rapamycin.,surrogate:hba1c,"Surrogate biomarker: HbA1c. Category: metabolic. Pathways: glucose metabolism. Aging hallmarks: deregulated nutrient sensing. Observed across interventions: Semaglutide, Metformin, Liraglutide, Empagliflozin, Acarbose.",same_hallmark,IGF-1
mol_surrogate_triplet_rapamycin_fasting_insulin,val,Rapamycin,CC1CCC2CC(C(=CC=CC=CC(CC(C(=O)C(C(C(=CC(C(=O)CC(OC(=O)C3CCCCN3C(=O)C(=O)C1(O2)O)C(C)CC4CCC(C(C4)OC)O)C)C)O)OC)C)C)C)OC,CC1CCC2CC(C(=CC=CC=CC(CC(C(=O)C(C(C(=CC(C(=O)CC(OC(=O)C3CCCCN3C(=O)C(=O)C1(O2)O)C(C)CC4CCC(C(C4)OC)O)C)C)O)OC)C)C)C)OC,single_molecule,1,surrogate:fasting_insulin,"Surrogate biomarker: fasting insulin. Category: metabolic. Pathways: insulin signaling. Aging hallmarks: deregulated nutrient sensing. Observed across interventions: Metformin, Semaglutide, Liraglutide, Acarbose, Empagliflozin, Rapamycin, NMN, Nicotinamide Riboside.",surrogate:hba1c,"Surrogate biomarker: HbA1c. Category: metabolic. Pathways: glucose metabolism. Aging hallmarks: deregulated nutrient sensing. Observed across interventions: Semaglutide, Metformin, Liraglutide, Empagliflozin, Acarbose.",same_category,fasting insulin
mol_surrogate_triplet_rapamycin_gdf15,val,Rapamycin,CC1CCC2CC(C(=CC=CC=CC(CC(C(=O)C(C(C(=CC(C(=O)CC(OC(=O)C3CCCCN3C(=O)C(=O)C1(O2)O)C(C)CC4CCC(C(C4)OC)O)C)C)O)OC)C)C)C)OC,CC1CCC2CC(C(=CC=CC=CC(CC(C(=O)C(C(C(=CC(C(=O)CC(OC(=O)C3CCCCN3C(=O)C(=O)C1(O2)O)C(C)CC4CCC(C(C4)OC)O)C)C)O)OC)C)C)C)OC,single_molecule,1,surrogate:gdf15,"Surrogate biomarker: GDF15. Category: stress response. Pathways: integrated stress response. Aging hallmarks: cellular senescence. Observed across interventions: Metformin, Dasatinib + Quercetin, Fisetin, Rapamycin, Spermidine.",surrogate:sasp_panel,"Surrogate biomarker: SASP panel. Category: senescence. Pathways: secretory phenotype. Aging hallmarks: cellular senescence. Observed across interventions: Dasatinib + Quercetin, Fisetin.",same_hallmark,GDF15
mol_surrogate_triplet_acarbose_hba1c,train,Acarbose,CC1C(C(C(C(O1)OC2C(OC(C(C2O)O)OC(C(CO)O)C(C(C=O)O)O)CO)O)O)NC3C=C(C(C(C3O)O)O)CO,CC1C(C(C(C(O1)OC2C(OC(C(C2O)O)OC(C(CO)O)C(C(C=O)O)O)CO)O)O)NC3C=C(C(C(C3O)O)O)CO,single_molecule,1,surrogate:hba1c,"Surrogate biomarker: HbA1c. Category: metabolic. Pathways: glucose metabolism. Aging hallmarks: deregulated nutrient sensing. Observed across interventions: Semaglutide, Metformin, Liraglutide, Empagliflozin, Acarbose.",surrogate:ldl_c,Surrogate biomarker: LDL-C. Category: metabolic. Pathways: lipid metabolism. Aging hallmarks: deregulated nutrient sensing. Observed across interventions: Semaglutide.,same_category,HbA1c
mol_surrogate_triplet_acarbose_fasting_glucose,train,Acarbose,CC1C(C(C(C(O1)OC2C(OC(C(C2O)O)OC(C(CO)O)C(C(C=O)O)O)CO)O)O)NC3C=C(C(C(C3O)O)O)CO,CC1C(C(C(C(O1)OC2C(OC(C(C2O)O)OC(C(CO)O)C(C(C=O)O)O)CO)O)O)NC3C=C(C(C(C3O)O)O)CO,single_molecule,1,surrogate:fasting_glucose,"Surrogate biomarker: fasting glucose. Category: metabolic. Pathways: glucose metabolism. Aging hallmarks: deregulated nutrient sensing. Observed across interventions: Semaglutide, Liraglutide, Acarbose, Empagliflozin, Resveratrol.",surrogate:ldl_c,Surrogate biomarker: LDL-C. Category: metabolic. Pathways: lipid metabolism. Aging hallmarks: deregulated nutrient sensing. Observed across interventions: Semaglutide.,same_category,fasting glucose
