query_id,doc_id,relevance,target_intervention
query_acarbose_mechanism_prompt,pair:acarbose_hba1c,3,Acarbose
query_acarbose_mechanism_prompt,pair:acarbose_fasting_glucose,3,Acarbose
query_acarbose_mechanism_prompt,pair:acarbose_fasting_insulin,3,Acarbose
query_acarbose_mechanism_prompt,pair:acarbose_homa_ir,2,Acarbose
query_acarbose_mechanism_prompt,pair:acarbose_triglycerides,2,Acarbose
query_acarbose_mechanism_prompt,pair:acarbose_crp,2,Acarbose
query_acarbose_biology_prompt,pair:acarbose_hba1c,3,Acarbose
query_acarbose_biology_prompt,pair:acarbose_fasting_glucose,3,Acarbose
query_acarbose_biology_prompt,pair:acarbose_fasting_insulin,3,Acarbose
query_acarbose_biology_prompt,pair:acarbose_homa_ir,2,Acarbose
query_acarbose_biology_prompt,pair:acarbose_triglycerides,2,Acarbose
query_acarbose_biology_prompt,pair:acarbose_crp,2,Acarbose
query_acarbose_trial_prompt,pair:acarbose_hba1c,3,Acarbose
query_acarbose_trial_prompt,pair:acarbose_fasting_glucose,3,Acarbose
query_acarbose_trial_prompt,pair:acarbose_fasting_insulin,3,Acarbose
query_acarbose_trial_prompt,pair:acarbose_homa_ir,2,Acarbose
query_acarbose_trial_prompt,pair:acarbose_triglycerides,2,Acarbose
query_acarbose_trial_prompt,pair:acarbose_crp,2,Acarbose
query_dasatinib_quercetin_mechanism_prompt,pair:dasatinib_quercetin_sasp_panel,3,Dasatinib + Quercetin
query_dasatinib_quercetin_mechanism_prompt,pair:dasatinib_quercetin_p16ink4a_expression,3,Dasatinib + Quercetin
query_dasatinib_quercetin_mechanism_prompt,pair:dasatinib_quercetin_il6,3,Dasatinib + Quercetin
query_dasatinib_quercetin_mechanism_prompt,pair:dasatinib_quercetin_tnf_alpha,2,Dasatinib + Quercetin
query_dasatinib_quercetin_mechanism_prompt,pair:dasatinib_quercetin_gdf15,2,Dasatinib + Quercetin
query_dasatinib_quercetin_mechanism_prompt,pair:dasatinib_quercetin_crp,2,Dasatinib + Quercetin
query_dasatinib_quercetin_biology_prompt,pair:dasatinib_quercetin_sasp_panel,3,Dasatinib + Quercetin
query_dasatinib_quercetin_biology_prompt,pair:dasatinib_quercetin_p16ink4a_expression,3,Dasatinib + Quercetin
query_dasatinib_quercetin_biology_prompt,pair:dasatinib_quercetin_il6,3,Dasatinib + Quercetin
query_dasatinib_quercetin_biology_prompt,pair:dasatinib_quercetin_tnf_alpha,2,Dasatinib + Quercetin
query_dasatinib_quercetin_biology_prompt,pair:dasatinib_quercetin_gdf15,2,Dasatinib + Quercetin
query_dasatinib_quercetin_biology_prompt,pair:dasatinib_quercetin_crp,2,Dasatinib + Quercetin
query_dasatinib_quercetin_trial_prompt,pair:dasatinib_quercetin_sasp_panel,3,Dasatinib + Quercetin
query_dasatinib_quercetin_trial_prompt,pair:dasatinib_quercetin_p16ink4a_expression,3,Dasatinib + Quercetin
query_dasatinib_quercetin_trial_prompt,pair:dasatinib_quercetin_il6,3,Dasatinib + Quercetin
query_dasatinib_quercetin_trial_prompt,pair:dasatinib_quercetin_tnf_alpha,2,Dasatinib + Quercetin
query_dasatinib_quercetin_trial_prompt,pair:dasatinib_quercetin_gdf15,2,Dasatinib + Quercetin
query_dasatinib_quercetin_trial_prompt,pair:dasatinib_quercetin_crp,2,Dasatinib + Quercetin
query_empagliflozin_mechanism_prompt,pair:empagliflozin_hba1c,3,Empagliflozin
query_empagliflozin_mechanism_prompt,pair:empagliflozin_fasting_glucose,3,Empagliflozin
query_empagliflozin_mechanism_prompt,pair:empagliflozin_nt_probnp,3,Empagliflozin
query_empagliflozin_mechanism_prompt,pair:empagliflozin_fasting_insulin,2,Empagliflozin
query_empagliflozin_mechanism_prompt,pair:empagliflozin_body_fat_percentage,2,Empagliflozin
query_empagliflozin_mechanism_prompt,pair:empagliflozin_crp,2,Empagliflozin
query_empagliflozin_biology_prompt,pair:empagliflozin_hba1c,3,Empagliflozin
query_empagliflozin_biology_prompt,pair:empagliflozin_fasting_glucose,3,Empagliflozin
query_empagliflozin_biology_prompt,pair:empagliflozin_nt_probnp,3,Empagliflozin
query_empagliflozin_biology_prompt,pair:empagliflozin_fasting_insulin,2,Empagliflozin
query_empagliflozin_biology_prompt,pair:empagliflozin_body_fat_percentage,2,Empagliflozin
query_empagliflozin_biology_prompt,pair:empagliflozin_crp,2,Empagliflozin
query_empagliflozin_trial_prompt,pair:empagliflozin_hba1c,3,Empagliflozin
query_empagliflozin_trial_prompt,pair:empagliflozin_fasting_glucose,3,Empagliflozin
query_empagliflozin_trial_prompt,pair:empagliflozin_nt_probnp,3,Empagliflozin
query_empagliflozin_trial_prompt,pair:empagliflozin_fasting_insulin,2,Empagliflozin
query_empagliflozin_trial_prompt,pair:empagliflozin_body_fat_percentage,2,Empagliflozin
query_empagliflozin_trial_prompt,pair:empagliflozin_crp,2,Empagliflozin
