row_id,split,text_column,model_name,title
atp_production,,embedding_text,dmis-lab/biobert-base-cased-v1.2,ATP production
crp,,embedding_text,dmis-lab/biobert-base-cased-v1.2,CRP
gdf15,,embedding_text,dmis-lab/biobert-base-cased-v1.2,GDF15
homa_ir,,embedding_text,dmis-lab/biobert-base-cased-v1.2,HOMA-IR
hba1c,,embedding_text,dmis-lab/biobert-base-cased-v1.2,HbA1c
igf_1,,embedding_text,dmis-lab/biobert-base-cased-v1.2,IGF-1
il6,,embedding_text,dmis-lab/biobert-base-cased-v1.2,IL6
ldl_c,,embedding_text,dmis-lab/biobert-base-cased-v1.2,LDL-C
nad_nadh_ratio,,embedding_text,dmis-lab/biobert-base-cased-v1.2,NAD+ NADH ratio
nt_probnp,,embedding_text,dmis-lab/biobert-base-cased-v1.2,NT-proBNP
sasp_panel,,embedding_text,dmis-lab/biobert-base-cased-v1.2,SASP panel
tnf_alpha,,embedding_text,dmis-lab/biobert-base-cased-v1.2,TNF-alpha
body_fat_percentage,,embedding_text,dmis-lab/biobert-base-cased-v1.2,body fat percentage
epigenetic_clock,,embedding_text,dmis-lab/biobert-base-cased-v1.2,epigenetic clock
fasting_glucose,,embedding_text,dmis-lab/biobert-base-cased-v1.2,fasting glucose
fasting_insulin,,embedding_text,dmis-lab/biobert-base-cased-v1.2,fasting insulin
mtdna_copy_number,,embedding_text,dmis-lab/biobert-base-cased-v1.2,mtDNA copy number
p16ink4a_expression,,embedding_text,dmis-lab/biobert-base-cased-v1.2,p16INK4a expression
triglycerides,,embedding_text,dmis-lab/biobert-base-cased-v1.2,triglycerides
