row_id,split,intervention,input_column,model_name,molecule_type,component_count
mol_query_metformin,train,Metformin,selfies_sequence,HUBioDataLab/SELFormer,single_molecule,1
mol_query_rapamycin,val,Rapamycin,selfies_sequence,HUBioDataLab/SELFormer,single_molecule,1
mol_query_acarbose,train,Acarbose,selfies_sequence,HUBioDataLab/SELFormer,single_molecule,1
mol_query_semaglutide,test,Semaglutide,selfies_sequence,HUBioDataLab/SELFormer,single_molecule,1
mol_query_liraglutide,train,Liraglutide,selfies_sequence,HUBioDataLab/SELFormer,single_molecule,1
mol_query_empagliflozin,train,Empagliflozin,selfies_sequence,HUBioDataLab/SELFormer,single_molecule,1
mol_query_dasatinib_quercetin,test,Dasatinib + Quercetin,selfies_sequence,HUBioDataLab/SELFormer,combination,2
mol_query_fisetin,train,Fisetin,selfies_sequence,HUBioDataLab/SELFormer,single_molecule,1
mol_query_nicotinamide_riboside,train,Nicotinamide Riboside,selfies_sequence,HUBioDataLab/SELFormer,single_molecule,1
mol_query_nmn,val,NMN,selfies_sequence,HUBioDataLab/SELFormer,single_molecule,1
mol_query_spermidine,train,Spermidine,selfies_sequence,HUBioDataLab/SELFormer,single_molecule,1
mol_query_resveratrol,train,Resveratrol,selfies_sequence,HUBioDataLab/SELFormer,single_molecule,1
