epoch,total_loss,bce_loss,triplet_loss,val_mrr@10
1,1.761176,1.584668,0.176507,0.52381
2,1.490171,1.463121,0.02705,0.690476
3,1.411867,1.402733,0.009134,0.672619
4,1.353906,1.352463,0.001443,0.703571
5,1.313303,1.313303,0.0,0.688095
6,1.275645,1.275645,0.0,0.681548
7,1.239494,1.239494,0.0,0.681548
8,1.216748,1.216025,0.000723,0.705357
9,1.186856,1.186856,0.0,0.706633
10,1.166583,1.166583,0.0,0.742347
11,1.159922,1.159922,0.0,0.744048
12,1.142334,1.142334,0.0,0.736905
13,1.135583,1.135583,0.0,0.728571
14,1.124706,1.124706,0.0,0.722619
15,1.114423,1.114423,0.0,0.720918
16,1.11282,1.11282,0.0,0.718537
