query_id,intervention,split,rank,candidate_id,surrogate,score,relevance
intervention:bleomycin,Bleomycin,train,1,surrogate:p16ink4a_expression,p16INK4a expression,0.857394,2
intervention:bleomycin,Bleomycin,train,2,surrogate:sasp_panel,SASP panel,0.836916,3
intervention:bleomycin,Bleomycin,train,3,surrogate:pten,PTEN,0.795066,2
intervention:bleomycin,Bleomycin,train,4,surrogate:il6,IL6,0.646156,0
intervention:bleomycin,Bleomycin,train,5,surrogate:nad_nadh_ratio,NAD+ NADH ratio,0.572795,0
intervention:bleomycin,Bleomycin,train,6,surrogate:hba1c,HbA1c,0.526367,0
intervention:bleomycin,Bleomycin,train,7,surrogate:creatinine,creatinine,0.518765,0
intervention:bleomycin,Bleomycin,train,8,surrogate:bdnf,BDNF,0.5004,1
intervention:bleomycin,Bleomycin,train,9,surrogate:met,MET,0.481935,0
intervention:bleomycin,Bleomycin,train,10,surrogate:nt_probnp,NT-proBNP,0.367824,0
intervention:coenzyme_q10,Coenzyme Q10,train,1,surrogate:triglycerides,triglycerides,0.839083,2
intervention:coenzyme_q10,Coenzyme Q10,train,2,surrogate:hdl_c,HDL-C,0.736656,2
intervention:coenzyme_q10,Coenzyme Q10,train,3,surrogate:ldl_c,LDL-C,0.669828,2
intervention:coenzyme_q10,Coenzyme Q10,train,4,surrogate:il6,IL6,0.659406,2
intervention:coenzyme_q10,Coenzyme Q10,train,5,surrogate:crp,CRP,0.637289,2
intervention:coenzyme_q10,Coenzyme Q10,train,6,surrogate:atp_production,ATP production,0.5244,1
intervention:coenzyme_q10,Coenzyme Q10,train,7,surrogate:creatinine,creatinine,0.477025,0
intervention:coenzyme_q10,Coenzyme Q10,train,8,surrogate:hba1c,HbA1c,0.475406,0
intervention:coenzyme_q10,Coenzyme Q10,train,9,surrogate:nt_probnp,NT-proBNP,0.412791,0
intervention:coenzyme_q10,Coenzyme Q10,train,10,surrogate:sasp_panel,SASP panel,0.315701,0
intervention:dapagliflozin,Dapagliflozin,train,1,surrogate:creatinine,creatinine,0.911972,3
intervention:dapagliflozin,Dapagliflozin,train,2,surrogate:hba1c,HbA1c,0.894682,3
intervention:dapagliflozin,Dapagliflozin,train,3,surrogate:nt_probnp,NT-proBNP,0.85724,3
intervention:dapagliflozin,Dapagliflozin,train,4,surrogate:met,MET,0.746092,3
intervention:dapagliflozin,Dapagliflozin,train,5,surrogate:sasp_panel,SASP panel,0.703642,0
intervention:dapagliflozin,Dapagliflozin,train,6,surrogate:pten,PTEN,0.550976,0
intervention:dapagliflozin,Dapagliflozin,train,7,surrogate:il6,IL6,0.495222,0
intervention:dapagliflozin,Dapagliflozin,train,8,surrogate:p16ink4a_expression,p16INK4a expression,0.434027,0
intervention:dapagliflozin,Dapagliflozin,train,9,surrogate:crp,CRP,0.384975,0
intervention:dapagliflozin,Dapagliflozin,train,10,surrogate:nad_nadh_ratio,NAD+ NADH ratio,0.331855,0
intervention:dasatinib,Dasatinib,train,1,surrogate:sasp_panel,SASP panel,0.873604,3
intervention:dasatinib,Dasatinib,train,2,surrogate:p16ink4a_expression,p16INK4a expression,0.861708,3
intervention:dasatinib,Dasatinib,train,3,surrogate:il6,IL6,0.793382,3
intervention:dasatinib,Dasatinib,train,4,surrogate:pten,PTEN,0.736652,0
intervention:dasatinib,Dasatinib,train,5,surrogate:creatinine,creatinine,0.695905,0
intervention:dasatinib,Dasatinib,train,6,surrogate:hba1c,HbA1c,0.652396,0
intervention:dasatinib,Dasatinib,train,7,surrogate:triglycerides,triglycerides,0.589255,2
intervention:dasatinib,Dasatinib,train,8,surrogate:met,MET,0.54098,0
intervention:dasatinib,Dasatinib,train,9,surrogate:nt_probnp,NT-proBNP,0.525984,0
intervention:dasatinib,Dasatinib,train,10,surrogate:nad_nadh_ratio,NAD+ NADH ratio,0.45981,0
intervention:glp_1_receptor_agonists,Glp-1 Receptor Agonists,train,1,surrogate:creatinine,creatinine,0.80829,2
intervention:glp_1_receptor_agonists,Glp-1 Receptor Agonists,train,2,surrogate:hba1c,HbA1c,0.75973,3
intervention:glp_1_receptor_agonists,Glp-1 Receptor Agonists,train,3,surrogate:nt_probnp,NT-proBNP,0.661784,0
intervention:glp_1_receptor_agonists,Glp-1 Receptor Agonists,train,4,surrogate:sasp_panel,SASP panel,0.53175,0
intervention:glp_1_receptor_agonists,Glp-1 Receptor Agonists,train,5,surrogate:met,MET,0.480314,0
intervention:glp_1_receptor_agonists,Glp-1 Receptor Agonists,train,6,surrogate:il6,IL6,0.477132,0
intervention:glp_1_receptor_agonists,Glp-1 Receptor Agonists,train,7,surrogate:pten,PTEN,0.443809,0
intervention:glp_1_receptor_agonists,Glp-1 Receptor Agonists,train,8,surrogate:triglycerides,triglycerides,0.416987,0
intervention:glp_1_receptor_agonists,Glp-1 Receptor Agonists,train,9,surrogate:hdl_c,HDL-C,0.402681,2
